Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001001,Male,Yes,1,Graduate,No,5849,0,128,360,1,Urban,Y
LP001002,Female,No,0,Graduate,No,4583,1500,120,360,1,Rural,Y
LP001003,Male,Yes,2,Not Graduate,No,3000,0,66,360,0,Semiurban,N
LP001004,Male,Yes,3,Graduate,Yes,6000,2000,141,360,1,Urban,Y
LP001005,Female,No,0,Graduate,No,3500,0,100,360,1,Rural,Y
LP001006,Male,Yes,1,Not Graduate,Yes,2500,1800,95,360,0,Semiurban,N
LP001007,Female,Yes,2,Graduate,No,4200,1200,130,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,5000,0,150,360,1,Semiurban,Y
LP001009,Male,Yes,3,Not Graduate,No,2800,1500,110,360,0,Rural,N
LP001010,Female,Yes,1,Graduate,Yes,4600,2000,140,360,1,Urban,Y
